<'algoritmo','algoritmo'>
<'declare','declare'>
<'lado1',IDENT>
<',',','>
<'lado2',IDENT>
<',',','>
<'lado3',IDENT>
<':',':'>
<'real',IDENT>
<'declare','declare'>
<'existeTriangulo',IDENT>
<',',','>
<'ehEquilatero',IDENT>
<',',','>
<'ehIsosceles',IDENT>
<',',','>
<'ehEscaleno',IDENT>
<':',':'>
<'logico',IDENT>
<'leia','leia'>
<'(','('>
<'lado1',IDENT>
<',',','>
<'lado2',IDENT>
<',',','>
<'lado3',IDENT>
<')',')'>
<'existeTriangulo',IDENT>
<'<',OP_REL>
<'-',OP_ARIT>
<'lado1',IDENT>
<'<',OP_REL>
<'lado2',IDENT>
<'+',OP_ARIT>
<'lado3',IDENT>
<'e',IDENT>
<'lado2',IDENT>
<'<',OP_REL>
<'lado1',IDENT>
<'+',OP_ARIT>
<'lado3',IDENT>
<'e',IDENT>
<'lado3',IDENT>
<'<',OP_REL>
<'lado1',IDENT>
<'+',OP_ARIT>
<'lado2',IDENT>
<'ehEquilatero',IDENT>
<'<',OP_REL>
<'-',OP_ARIT>
<'existeTriangulo',IDENT>
<'e',IDENT>
<'lado1',IDENT>
<'=',OP_REL>
<'lado2',IDENT>
<'e',IDENT>
<'lado2',IDENT>
<'=',OP_REL>
<'lado3',IDENT>
<'ehIsosceles',IDENT>
<'<',OP_REL>
<'-',OP_ARIT>
<'existeTriangulo',IDENT>
<'e',IDENT>
<'nao',IDENT>
<'ehEquilatero',IDENT>
<'e',IDENT>
<'(','('>
<'lado1',IDENT>
<'=',OP_REL>
<'lado2',IDENT>
<'ou',IDENT>
<'lado2',IDENT>
<'=',OP_REL>
<'lado3',IDENT>
<'ou',IDENT>
<'lado1',IDENT>
<'=',OP_REL>
<'lado3',IDENT>
<')',')'>
<'ehEscaleno',IDENT>
<'<',OP_REL>
<'-',OP_ARIT>
<'existeTriangulo',IDENT>
<'e',IDENT>
<'nao',IDENT>
<'ehEquilatero',IDENT>
<'e',IDENT>
<'nao',IDENT>
<'ehIsosceles',IDENT>
<'escreva','escreva'>
<'(','('>
<'"Triangulo existe?"',CADEIA>
<',',','>
<'existeTriangulo',IDENT>
<')',')'>
<'escreva','escreva'>
<'(','('>
<'"Eh equilatero?"',CADEIA>
<',',','>
<'ehEquilatero',IDENT>
<')',')'>
<'escreva','escreva'>
<'(','('>
<'"Eh isosceles?"',CADEIA>
<',',','>
<'ehIsosceles',IDENT>
<')',')'>
<'escreva','escreva'>
<'(','('>
<'"Eh escaleno?"',CADEIA>
<',',','>
<'ehEscaleno',IDENT>
<')',')'>
<'fim_algoritmo','fim_algoritmo'>
